PLAYER_ID,PLAYER_NAME,PTS,REB,AST,STL,BLK,TOV
203954,"Joel Embiid",26.9,7.7,3.9,0.6,1.2,2.9
1628381,"John Collins",13.6,5.3,1,0.9,0.7,1.4
1629723,"John Konchar",4.4,4.3,2.1,1.5,0.7,0.6
1642967,"John Poulakidas",8.8,2.3,0.8,0.5,0.3,0.3
1642910,"John Tonje",2.5,1,0.3,0.3,0,0
1641780,"Johni Broome",0.9,1.5,0.4,0.3,0.2,0.3
1642277,"Johnny Furphy",5.1,4.4,1.2,0.6,0.2,0.8
1630548,"Johnny Juzang",2,0.8,0.3,0.1,0,0.2
202685,"Jonas Valančiūnas",8.7,5.1,1.2,0.2,0.6,1.1
1628371,"Jonathan Isaac",2.6,2.5,0.4,0.4,0.6,0.3
1630228,"Jonathan Kuminga",12.2,5.6,2.3,0.6,0.3,1.9
1642367,"Jonathan Mogbo",1.5,1.7,0.6,0.3,0.2,0.4
203903,"Jordan Clarkson",8.6,1.8,1.3,0.4,0.1,0.9
1630692,"Jordan Goodwin",8.7,4.9,2.2,1.5,0.2,1
1641722,"Jordan Hawkins",5.1,1.7,0.8,0.3,0.2,0.7
1629162,"Jordan McLaughlin",2,0.7,0.9,0.5,0,0.3
1641757,"Jordan Miller",10,3,2.3,0.8,0.2,1.1
1629673,"Jordan Poole",13.4,2,3.1,0.6,0.4,1.8
1641775,"Jordan Walsh",5.4,4,0.8,0.7,0.5,0.5
1630631,"Jose Alvarado",7.4,2.5,3.4,1,0.1,1.1
1630581,"Josh Giddey",17,8.3,9.1,1,0.5,3.6
1630182,"Josh Green",4.3,1.8,0.8,0.6,0.1,0.6
1628404,"Josh Hart",12,7.4,4.8,1.1,0.3,1.9
1631169,"Josh Minott",7.4,3.2,0.9,0.9,0.5,0.9
1642490,"Josh Oduro",8.3,7.7,1.3,0,0,0.7
1629006,"Josh Okogie",4.5,2.6,0.9,0.8,0.2,0.5
201950,"Jrue Holiday",16.3,4.6,6.1,1,0.1,2.8
1630577,"Julian Champagnie",11.1,5.8,1.5,0.8,0.5,0.8
1641763,"Julian Phillips",2.9,1,0.2,0.5,0.1,0.2
1642882,"Julian Reese",11.8,10.5,1.8,1.4,0.6,2.5
1631124,"Julian Strawther",7.2,2,1.1,0.4,0.1,0.6
203944,"Julius Randle",21.1,6.7,5,1.1,0.2,2.7
1630551,"Justin Champagnie",8.7,5.6,1.2,0.9,0.6,0.7
1642348,"Justin Edwards",6,1.5,1.3,0.8,0.2,0.6
203994,"Jusuf Nurkić",10.9,10.4,4.8,1.3,0.5,2.5
1642354,"KJ Simpson",4.6,1.9,2.2,0.8,0,1.3
1642955,"Kadary Richmond",8.3,3.3,2.7,2.7,0.3,0.7
1642880,"Kam Jones",4.4,1.6,3.2,0.5,0,1
1626157,"Karl-Anthony Towns",20.1,11.9,3,0.9,0.5,2.5
1631255,"Karlo Matković",5.7,3.7,0.8,0.4,0.9,0.5
1642857,"Kasparas Jakučionis",6.2,2.6,2.6,0.6,0.1,0.9
202695,"Kawhi Leonard",27.9,6.4,3.6,1.9,0.4,2
1630811,"Keaton Wallace",3.5,1.1,1.8,0.5,0.1,0.5
